text,embedding
sweet melancholic piano piece,"[-0.12439528852701187, -0.04662821814417839, -0.0009686631383374333, 0.10796255618333817, -0.03127002343535423, 0.07490044087171555, -0.005918760783970356, -0.057103633880615234, -0.05790906026959419, 0.04992063716053963, 0.08428873121738434, 0.06378133594989777, -0.019417118281126022, 0.052525073289871216, -0.05214371159672737, 0.0310128852725029, -0.04460584372282028, 0.030971858650445938, -0.02808310277760029, 0.0030163773335516453, -0.019842298701405525, 0.03752847760915756, 0.05270272493362427, 0.00010261365241603926, 0.02992182970046997, -0.07902727276086807, -0.011269215494394302, 0.03257317841053009, 0.009911762550473213, -0.0869639590382576, -0.046781543642282486, 0.08119090646505356, -0.0025124107487499714, 0.048378195613622665, 0.027386104688048363, 0.0076888310723006725, -0.018239842727780342, -0.048797883093357086, -0.024880196899175644, -0.0016423164634034038, 0.04651009663939476, 0.02380376309156418, 0.06406738609075546, -0.02343020774424076, 0.04702868312597275, -0.0913521870970726, -0.09076147526502609, -0.06054529920220375, 0.03575922176241875, 0.020121267065405846, -0.033064886927604675, -0.029082054272294044, 0.000568837858736515, 0.06102341413497925, 0.026067225262522697, -0.03434987738728523, 0.040702130645513535, 0.0453924722969532, 0.051097676157951355, 0.06243779882788658, -0.06000778451561928, -0.07408581674098969, -0.061709996312856674, -0.015135116875171661, 0.06785234063863754, 0.014943878166377544, -0.060609735548496246, 0.05262801796197891, 0.01064372155815363, 0.016073474660515785, -0.060490887612104416, 0.014280961826443672, 0.05198812857270241, -0.0031756022945046425, -0.09627358615398407, -0.009203677996993065, -0.039540864527225494, 0.01504991389811039, 0.004821962211281061, 0.04923010990023613, -0.08594793826341629, -0.014379248023033142, 0.012587981298565865, 0.047884367406368256, -0.04803453013300896, -0.011731554754078388, 0.04113013297319412, -0.03654620796442032, -0.02094420976936817, 0.026732439175248146, -0.011024478822946548, 0.0348687581717968, -0.0024530282244086266, 0.0063646710477769375, -0.0014800848439335823, 0.04691123962402344, 0.024585355073213577, 0.03384227305650711, 0.005265498533844948, -0.036331307142972946, 0.02305060252547264, 0.007708737626671791, -0.04836861044168472, 0.040576763451099396, 0.0688895508646965, 0.0358574241399765, 0.04151607304811478, -0.07644809037446976, -0.122369684278965, 0.033577993512153625, 0.02603049948811531, -0.06280314922332764, -0.06060206890106201, -0.036686696112155914, 0.013450758531689644, 0.006722951307892799, 0.009128883481025696, 0.07997594028711319, -0.03182915225625038, -0.013805517926812172, 0.009592922404408455, -0.0033543724566698074, 0.034051232039928436, 0.03632764518260956, -0.0009496092679910362, -0.010479740798473358, 0.04846218600869179, -0.018729841336607933, -0.010143458843231201, 0.02600036934018135, 0.010520288720726967, -0.005302242934703827, -0.006685771048069, -0.004782223142683506, -0.01407504640519619, -0.07286300510168076, -0.06456544250249863, -0.07164057344198227, -0.06024647504091263, -0.027405189350247383, -0.056591689586639404, 0.06879335641860962, -0.03619924187660217, 0.022367246448993683, 0.0737253800034523, 0.0418870784342289, 0.034134045243263245, -0.024447988718748093, 0.02900456078350544, -0.008437014184892178, 0.028440944850444794, -0.056287460029125214, 0.015611618757247925, 0.045442093163728714, -0.029282096773386, -0.0515197329223156, 0.06970257312059402, 0.07459824532270432, 0.000576186110265553, 0.02547992207109928, -0.049286533147096634, -0.022916020825505257, 0.011748448945581913, -0.045568086206912994, -0.009829041548073292, 0.07955837994813919, -0.031169582158327103, 0.036362674087285995, -0.02953800931572914, 0.0692976638674736, -0.004279701504856348, 0.04305190593004227, 0.020723115652799606, -0.02303740195930004, 0.04433850944042206, 0.02535710297524929, 0.07216144353151321, -0.03333041071891785, 0.030701769515872, -0.019002515822649002, -0.036360062658786774, -0.0040859500877559185, -0.025921957567334175, 0.002743978053331375, -0.04883421212434769, 0.013354231603443623, -0.03366929292678833, 0.07076531648635864, 0.07214623689651489, 0.0035761443432420492, -0.03392581641674042, -0.05591417849063873, -0.024548351764678955, -0.0038586119189858437, 0.0045964960008859634, 0.02418036386370659, -0.014243874698877335, 0.04447484761476517, -0.004833676386624575, -0.016365699470043182, -0.0008939893450587988, 0.03945814073085785, -0.07080458104610443, 0.008086936548352242, 0.0124148428440094, -0.0004850340774282813, 0.0016875804867595434, 0.07832824438810349, 0.023203415796160698, 0.00490419240668416, 0.006135672330856323, -0.0017470818711444736, 0.09525532275438309, -0.004912165459245443, -0.012197180651128292, -0.012275896966457367, 0.0023263683542609215, 0.011263195425271988, 0.036970291286706924, -0.009703286923468113, -0.04772290959954262, -0.06527922302484512, -0.009819407016038895, 0.0070430017076432705, 0.08261315524578094, -0.014055725187063217, 0.06076303869485855, -0.028949428349733353, 0.05493445321917534, -0.07429367303848267, 0.06874506920576096, 0.05666026100516319, -0.0108251441270113, 0.014611446298658848, -0.002986135659739375, 0.07395534962415695, -0.009249328635632992, -0.0039362479001283646, -0.012938481755554676, -0.009394727647304535, -0.07788783311843872, 0.005538539960980415, -0.029018152505159378, -0.04590602591633797, -0.025015030056238174, -0.005748480558395386, 0.01572251506149769, 0.004913445096462965, 0.08765040338039398, -0.03861986845731735, -0.0010029703844338655, 0.00438434025272727, -0.05663714557886124, -0.05385606735944748, 0.015958312898874283, -0.017811523750424385, -0.013735072687268257, 0.013507495634257793, -0.01825818419456482, -0.06358571350574493, -0.012356285937130451, -0.04408945143222809, 0.014500200748443604, -0.11860443651676178, -0.07177916914224625, 0.04378177225589752, 0.0048825982958078384, 0.016278017312288284, 0.05710647255182266, 0.019073136150836945, 0.0011784678790718317, 0.012368963100016117, 0.09610667824745178, 0.013526992872357368, -0.05089527368545532, 0.0641811415553093, -0.08505043387413025, 0.0008361748186871409, -0.07486855238676071, 0.003339127404615283, 0.03692824766039848, -0.012794271111488342, 0.056911054998636246, -0.013094478286802769, 0.06058742105960846, -0.029925163835287094, -0.026733743026852608, -0.021263575181365013, -0.013177579268813133, -0.03344688564538956, 0.014899861067533493, 0.037310194224119186, -0.002805644879117608, -0.01184779778122902, 0.0019636114593595266, 0.011005261912941933, -0.03692345693707466, -0.029683779925107956, 0.04887797683477402, -0.08939708769321442, -0.022170539945364, -0.07597354799509048, -0.033064909279346466, 0.0663519874215126, 0.02501479722559452, 0.02458120696246624, 0.06958730518817902, 0.013341405428946018, 0.012234971858561039, 0.016054946929216385, -0.04143746197223663, -0.017269764095544815, -0.04918453097343445, -0.04710954427719116, -0.1091684103012085, 0.011468949727714062, 0.020853316411376, -0.043301597237586975, -0.07589791715145111, 0.011841179803013802, -0.03702472522854805, 0.00034787104232236743, 0.03257067874073982, 0.07647959142923355, 0.014399221166968346, -0.02870376780629158, -0.05090455710887909, 0.010759402066469193, -0.036555513739585876, -0.0910603404045105, -0.0025130505673587322, -0.12273534387350082, 0.011972744949162006, -0.01691354624927044, 0.031166093423962593, -0.05386650562286377, 0.02150299772620201, -0.04972516745328903, 0.043528031557798386, 0.015303288586437702, -0.023249583318829536, -0.019279845058918, 0.10863267630338669, -0.047036219388246536, -0.06004145368933678, -0.043945468962192535, -0.019022956490516663, 0.06165410950779915, 0.03209500387310982, 0.01823389157652855, 0.0024803506676107645, 0.021515242755413055, 0.02274637296795845, -0.009557075798511505, 0.019428515806794167, -0.040734581649303436, -0.08400863409042358, -0.05063736066222191, -0.08467457443475723, -0.04029928892850876, -0.04474720358848572, -0.0305510051548481, -0.012687920592725277, 0.06394623219966888, 0.013798940926790237, -0.025773268193006516, -0.05905328318476677, -0.013785058632493019, 0.011647244915366173, 0.035611122846603394, -0.03784956410527229, -0.05868636444211006, 0.03663176670670509, 0.011456865817308426, -0.0622648261487484, 0.0035697922576218843, -0.04387729987502098, -0.07122313231229782, -0.04041475057601929, 0.024766970425844193, 0.04632267355918884, 0.01630711369216442, 0.0678248181939125, 0.05373062193393707, 0.03921674191951752, 0.05925999581813812, 0.03050241246819496, -0.03763759508728981, 0.0007939669885672629, -0.003087724559009075, 0.04682084172964096, 0.019208509474992752, -0.011400273069739342, -0.07693599164485931, 0.03614705801010132, 0.02045919932425022, 0.00524932099506259, -0.008866610936820507, -0.06996536254882812, 0.005239677615463734, -0.020432889461517334, -0.00016170494200196117, -0.027116162702441216, -0.05530030280351639, 0.03650868311524391, -0.01683218590915203, 0.02254452370107174, -0.035974495112895966, 0.013378751464188099, 0.0368645042181015, -0.10151367634534836, -0.03379348665475845, -0.010621219873428345, -0.03797401860356331, 0.00509246252477169, 0.0024451441131532192, -0.005753792822360992, 0.011517977342009544, 0.022527990862727165, -0.005526744294911623, 0.028202639892697334, -0.08242451399564743, 0.011091354303061962, 0.10651548206806183, -0.010514495894312859, -0.06139674782752991, 0.02322576381266117, -0.004933544900268316, -0.03285576030611992, -0.053057484328746796, 0.06374411284923553, -0.018806710839271545, -0.03976345807313919, -0.09285212308168411, 0.03996466100215912, 0.0028026695363223553, -0.02894699014723301, -0.036881908774375916, -0.018409479409456253, 0.07979145646095276, 0.01918085850775242, 0.059046607464551926, 0.09947158396244049, 0.022622868418693542, 0.06565672904253006, -0.03758817911148071, 0.001644507865421474, -0.036301225423812866, 0.012330111116170883, 0.027179494500160217, 0.022954227402806282, -0.06477484852075577, 0.04065580666065216, 0.08378687500953674, -0.014563187025487423, 0.015969207510352135, -0.020277302712202072, -0.06216480955481529, 0.015082507394254208, -0.046565961092710495, 0.02916007675230503, -0.006158357951790094, -0.07982615381479263, -0.07701198011636734, -0.038198068737983704, -0.029385842382907867, -0.014599882997572422, 0.01580323651432991, 0.07684938609600067, -0.020991601049900055, -0.03168250992894173, -0.07403670251369476, 0.03144732490181923, 0.03407825157046318, -0.006049337796866894, 0.040743909776210785, -0.048733100295066833, 0.007111030165106058, -0.04840792715549469, 0.034976039081811905, 0.06507840007543564, -0.032292600721120834, 0.09070929139852524, -0.004965783096849918, 0.05268878489732742, -0.04481413960456848, 0.01942235790193081, -0.006316604558378458, -0.0513443760573864, 0.008256667293608189, -0.025910189375281334, 0.046866562217473984, -0.027233831584453583, -0.05803300812840462, 0.007292256690561771, 0.0006940940511412919, -0.011966975405812263, -0.08030454814434052, 0.07693853229284286, -0.002536195795983076, 0.061344511806964874, -0.0480840764939785, 0.023676715791225433, 0.03824060037732124, 0.03193550556898117, -0.08297781646251678, 0.023494509980082512, -0.07171045988798141, 0.0017105747247114778, 0.00641798647120595, -0.017268164083361626, -0.04899033159017563]"
bitter sweet dreamy piano piece,"[-0.12361618131399155, -0.04753344878554344, -0.002802738919854164, 0.1063321903347969, -0.031505387276411057, 0.07370267808437347, -0.006650139112025499, -0.056408971548080444, -0.05667562782764435, 0.05059503763914108, 0.08480026572942734, 0.06545140594244003, -0.020284101366996765, 0.053291141986846924, -0.05229252576828003, 0.031120844185352325, -0.045740749686956406, 0.03140614554286003, -0.027737880125641823, 0.003904343582689762, -0.02041544020175934, 0.03918418288230896, 0.05304589867591858, 3.313973866170272e-05, 0.030772600322961807, -0.07956406474113464, -0.00969232153147459, 0.03196709230542183, 0.009018412791192532, -0.08611413091421127, -0.04590857774019241, 0.08108220249414444, -0.0023558828979730606, 0.04829861968755722, 0.027948563918471336, 0.008183288387954235, -0.01883569546043873, -0.04990821331739426, -0.024790488183498383, -0.0010983450338244438, 0.04724983498454094, 0.022266212850809097, 0.06448759138584137, -0.02279176190495491, 0.047289781272411346, -0.0896703228354454, -0.09117360413074493, -0.05910086631774902, 0.03539874032139778, 0.019870998337864876, -0.03243846073746681, -0.029355214908719063, -0.0013704616576433182, 0.06111619621515274, 0.025395821779966354, -0.035355933010578156, 0.04095751419663429, 0.045632895082235336, 0.050050653517246246, 0.06161172688007355, -0.06097998470067978, -0.07388562709093094, -0.06240987405180931, -0.015817278996109962, 0.06745386123657227, 0.015550671145319939, -0.06086335703730583, 0.0533098466694355, 0.010267958976328373, 0.016523219645023346, -0.060468148440122604, 0.015206040814518929, 0.052693646401166916, -0.0028182778041809797, -0.09634311497211456, -0.00947522558271885, -0.03828241676092148, 0.015391843393445015, 0.004444881342351437, 0.04819358140230179, -0.08594311773777008, -0.013740423135459423, 0.014081122353672981, 0.04696861654520035, -0.04818376526236534, -0.01060850266367197, 0.040896136313676834, -0.037139102816581726, -0.0188760906457901, 0.02678496018052101, -0.010974688455462456, 0.03509187698364258, -0.0025820452719926834, 0.0058307223953306675, -0.0018258927157148719, 0.04681248962879181, 0.02398616261780262, 0.0353492833673954, 0.0045369877479970455, -0.03608096390962601, 0.022837355732917786, 0.006891974713653326, -0.047578077763319016, 0.04138749837875366, 0.06856684386730194, 0.03520345315337181, 0.041410911828279495, -0.07676221430301666, -0.12299361824989319, 0.03202689066529274, 0.024616017937660217, -0.06371618807315826, -0.06148010864853859, -0.03675239533185959, 0.013144209049642086, 0.005362495314329863, 0.01158824935555458, 0.08017207682132721, -0.03245021775364876, -0.013804996386170387, 0.009199297986924648, -0.002595470054075122, 0.03430813178420067, 0.03594221547245979, -0.0006997064338065684, -0.010110347531735897, 0.04740042984485626, -0.018212901428341866, -0.011136727407574654, 0.02474057674407959, 0.010209525004029274, -0.005952017847448587, -0.00686684949323535, -0.004504702053964138, -0.013641430996358395, -0.0719669908285141, -0.06539157778024673, -0.07145456224679947, -0.058249615132808685, -0.027632616460323334, -0.056697286665439606, 0.06922218948602676, -0.036435145884752274, 0.02276734635233879, 0.07291986048221588, 0.04089997708797455, 0.03469039499759674, -0.025792483240365982, 0.0301212165504694, -0.010386614128947258, 0.02884320728480816, -0.055949509143829346, 0.015019265934824944, 0.04468245804309845, -0.029221896082162857, -0.050743330270051956, 0.06882435828447342, 0.0752314105629921, 0.0014758502366021276, 0.024490797892212868, -0.04899159446358681, -0.024140065535902977, 0.01167330052703619, -0.04422425478696823, -0.010109695605933666, 0.07939660549163818, -0.030723977833986282, 0.03637101501226425, -0.029478158801794052, 0.0681055411696434, -0.00525883212685585, 0.042452123016119, 0.021442588418722153, -0.023232094943523407, 0.04486088827252388, 0.024732716381549835, 0.07291356474161148, -0.03359215334057808, 0.031383950263261795, -0.017621975392103195, -0.035655394196510315, -0.0041701048612594604, -0.025857042521238327, 0.0032909600995481014, -0.04884868115186691, 0.013121284544467926, -0.034604672342538834, 0.07072535902261734, 0.07106172293424606, 0.004285186994820833, -0.03491988778114319, -0.056735794991254807, -0.02452210523188114, -0.005199903156608343, 0.00606246804818511, 0.025513777509331703, -0.013572236523032188, 0.045717861503362656, -0.003922146279364824, -0.014899488538503647, -0.0018244007369503379, 0.04033447057008743, -0.07067036628723145, 0.00927245058119297, 0.013764599338173866, -0.00017612212104722857, 0.0017507035518065095, 0.07755263149738312, 0.022286370396614075, 0.005190460942685604, 0.006800163071602583, -0.0032232997473329306, 0.09510084986686707, -0.0039314040914177895, -0.011856715194880962, -0.012912149541079998, 0.0007047326071187854, 0.011612817645072937, 0.036564938724040985, -0.010661990381777287, -0.047395624220371246, -0.06615500897169113, -0.009792136959731579, 0.005844017490744591, 0.08237264305353165, -0.01458700094372034, 0.06058501452207565, -0.029813136905431747, 0.05398544669151306, -0.07440591603517532, 0.06852594017982483, 0.05667201802134514, -0.009941088035702705, 0.01503194309771061, -0.002231526654213667, 0.0736391469836235, -0.010101188905537128, -0.0035458847414702177, -0.011623707599937916, -0.008803147822618484, -0.07750474661588669, 0.006703168619424105, -0.030367130413651466, -0.04560337960720062, -0.025271881371736526, -0.005664647091180086, 0.016428286209702492, 0.004381287377327681, 0.08878932148218155, -0.03797973319888115, -0.0005791723378933966, 0.005165076348930597, -0.05473991855978966, -0.053341202437877655, 0.016415584832429886, -0.016745559871196747, -0.011509074829518795, 0.013162631541490555, -0.01867803931236267, -0.06411426514387131, -0.012514385394752026, -0.04451221972703934, 0.0136397834867239, -0.11825878173112869, -0.07137870788574219, 0.044404398649930954, 0.0039199162274599075, 0.01710289716720581, 0.057274188846349716, 0.019414303824305534, 0.0025170815642923117, 0.011943517252802849, 0.09503783285617828, 0.012402965687215328, -0.05242471024394035, 0.06393976509571075, -0.08410068601369858, 0.00017062670667655766, -0.07539018988609314, 0.004455705173313618, 0.03782997280359268, -0.012446708045899868, 0.05632977560162544, -0.013786140829324722, 0.060587991029024124, -0.031082266941666603, -0.027665825560688972, -0.021564725786447525, -0.013960814103484154, -0.03334473818540573, 0.01628602296113968, 0.037518635392189026, -0.004012530203908682, -0.011530273593962193, 0.0018772908952087164, 0.01248321682214737, -0.037046149373054504, -0.029844235628843307, 0.049089331179857254, -0.0902315005660057, -0.023246968165040016, -0.07538589090108871, -0.0331202857196331, 0.06522452086210251, 0.025086596608161926, 0.02457253821194172, 0.07070368528366089, 0.01270663645118475, 0.013345959596335888, 0.017115596681833267, -0.042994484305381775, -0.01893029361963272, -0.05047803372144699, -0.04624451696872711, -0.10836215317249298, 0.01020907238125801, 0.02156279794871807, -0.04439865052700043, -0.07418452203273773, 0.01275785081088543, -0.03611352667212486, -0.0005925488076172769, 0.03386798873543739, 0.07710304111242294, 0.015396319329738617, -0.02845754288136959, -0.05191607400774956, 0.011819103732705116, -0.03718098625540733, -0.09155146032571793, -0.0025063378270715475, -0.12303412705659866, 0.01276654563844204, -0.016458947211503983, 0.03171912953257561, -0.05262409895658493, 0.02084774523973465, -0.05167756602168083, 0.04450257495045662, 0.015626780688762665, -0.02268826775252819, -0.020146489143371582, 0.10821985453367233, -0.046806178987026215, -0.0593106634914875, -0.042612772434949875, -0.019783176481723785, 0.059793807566165924, 0.03207562863826752, 0.020079640671610832, 0.0015495683765038848, 0.021461060270667076, 0.022337323054671288, -0.00978848710656166, 0.019375858828425407, -0.040846940129995346, -0.08384166657924652, -0.05008285865187645, -0.0843917578458786, -0.03950431942939758, -0.04332057014107704, -0.03199687600135803, -0.012595456093549728, 0.06593386083841324, 0.013755442574620247, -0.02765246108174324, -0.05619698017835617, -0.012733440846204758, 0.011431582272052765, 0.03618317469954491, -0.038742005825042725, -0.05811919644474983, 0.03608182445168495, 0.01161402091383934, -0.06329242140054703, 0.0011360737262293696, -0.04276726767420769, -0.07331576943397522, -0.04133369401097298, 0.025988111272454262, 0.047538094222545624, 0.017212068662047386, 0.0666777491569519, 0.05445753410458565, 0.03970789536833763, 0.058392614126205444, 0.029656091704964638, -0.035672128200531006, 0.0026994042564183474, -0.0028043542988598347, 0.046773526817560196, 0.017997074872255325, -0.009921303018927574, -0.07688146829605103, 0.03723054379224777, 0.020817985758185387, 0.004908307455480099, -0.007950895465910435, -0.06837020069360733, 0.005765292793512344, -0.021700924262404442, 0.0015393266221508384, -0.026624511927366257, -0.05413956940174103, 0.03554841876029968, -0.01803830824792385, 0.023636793717741966, -0.03505547717213631, 0.012685726396739483, 0.03752828389406204, -0.10164705663919449, -0.03413666412234306, -0.009498434141278267, -0.03721504658460617, 0.004423282574862242, 0.0029111867770552635, -0.005675795953720808, 0.010608840733766556, 0.023569634184241295, -0.004958437290042639, 0.027530241757631302, -0.08203357458114624, 0.011275324039161205, 0.10738033056259155, -0.010650647804141045, -0.06233292445540428, 0.022833433002233505, -0.0047145867720246315, -0.034164465963840485, -0.053489573299884796, 0.0651535913348198, -0.0196926798671484, -0.04006621241569519, -0.09357167780399323, 0.04214557632803917, 0.002771018771454692, -0.029726527631282806, -0.037654582411050797, -0.019078519195318222, 0.08096674829721451, 0.01921653188765049, 0.05791637673974037, 0.09733311831951141, 0.023713983595371246, 0.06571893393993378, -0.03726758807897568, 0.0014218982541933656, -0.03567057475447655, 0.012736051343381405, 0.02656618319451809, 0.022352496162056923, -0.06455448269844055, 0.04152323678135872, 0.08397810161113739, -0.014659409411251545, 0.014789324253797531, -0.019845273345708847, -0.06290464103221893, 0.014949220232665539, -0.04754804074764252, 0.029744090512394905, -0.006561750546097755, -0.07965826243162155, -0.07756899297237396, -0.03809873014688492, -0.031594470143318176, -0.015883339568972588, 0.01700197346508503, 0.0771574154496193, -0.020837048068642616, -0.030763158574700356, -0.07410623878240585, 0.031445469707250595, 0.03532334417104721, -0.005651596002280712, 0.040058527141809464, -0.04866005480289459, 0.0077665564604103565, -0.04859437793493271, 0.03489790856838226, 0.06528942286968231, -0.03312137350440025, 0.08996321260929108, -0.004666531924158335, 0.05220474302768707, -0.04459954798221588, 0.018785398453474045, -0.008050994947552681, -0.04998531937599182, 0.006997212767601013, -0.026783492416143417, 0.04722489044070244, -0.026531685143709183, -0.057524994015693665, 0.0061516654677689075, 0.002533349907025695, -0.011582734994590282, -0.08137252926826477, 0.07646302878856659, -0.0032459283247590065, 0.06076837331056595, -0.04887726530432701, 0.024713406339287758, 0.03848052769899368, 0.030634788796305656, -0.08496829122304916, 0.02298172377049923, -0.07077264040708542, 0.0017975223017856479, 0.006033128127455711, -0.01632654294371605, -0.049540143460035324]"
